"model_id","location","wis","ae_median","interval_coverage_50","interval_coverage_95","n"
"CFA_Pyrenew-PyrenewHEW_COVID","25",0.000632543092509819,0.00100507954859594,0.527777777777778,1,36
"CFA_Pyrenew-PyrenewHEW_COVID","02",0.000826797514319205,0.00113934773367047,0.666666666666667,1,36
"CFA_Pyrenew-PyrenewHEW_COVID","01",0.00129840336166954,0.00200194841685795,0.5,0.861111111111111,36
"CFA_Pyrenew-PyrenewHEW_COVID","05",0.00160643159585346,0.00247732963762607,0.535714285714286,0.892857142857143,28
"CFA_Pyrenew-PyrenewHEW_COVID","04",0.000639252448595481,0.000985806301398304,0.416666666666667,0.888888888888889,36
"CFA_Pyrenew-PyrenewHEW_COVID","06",0.000633141457303695,0.00103321944055274,0.472222222222222,0.972222222222222,36
"CFA_Pyrenew-PyrenewHEW_COVID","08",0.000494880305453534,0.000732071391587308,0.527777777777778,0.972222222222222,36
"CFA_Pyrenew-PyrenewHEW_COVID","09",0.0019260230180893,0.00280492382782552,0.0277777777777778,0.416666666666667,36
"CFA_Pyrenew-PyrenewHEW_COVID","11",0.00207252883130874,0.00279972038772272,0.3125,0.6875,32
"CFA_Pyrenew-PyrenewHEW_COVID","10",0.000980433659562203,0.00155422395522502,0.416666666666667,0.916666666666667,36
"CFA_Pyrenew-PyrenewHEW_COVID","12",0.00110716609946816,0.00179087702752711,0.305555555555556,0.888888888888889,36
"CFA_Pyrenew-PyrenewHEW_COVID","13",0.00108033872174671,0.00183788419187056,0.25,0.958333333333333,24
"CFA_Pyrenew-PyrenewHEW_COVID","15",0.00173545612808044,0.00266045455514969,0.583333333333333,0.916666666666667,36
"CFA_Pyrenew-PyrenewHEW_COVID","19",0.000860093398447445,0.00129173620748255,0.527777777777778,0.944444444444444,36
"CFA_Pyrenew-PyrenewHEW_COVID","16",0.000897922676857049,0.00146872123547177,0.444444444444444,0.972222222222222,36
"CFA_Pyrenew-PyrenewHEW_COVID","17",0.000774282336376806,0.00124235968429105,0.366666666666667,0.9,30
"CFA_Pyrenew-PyrenewHEW_COVID","18",0.000598164033293987,0.000908814899035411,0.583333333333333,1,36
"CFA_Pyrenew-PyrenewHEW_COVID","20",0.000568971387879542,0.000972984779155442,0.555555555555556,1,36
"CFA_Pyrenew-PyrenewHEW_COVID","21",0.00064201610161921,0.00100883582214522,0.5,0.944444444444444,36
"CFA_Pyrenew-PyrenewHEW_COVID","22",0.00132793367222443,0.00204890693582476,0.416666666666667,0.944444444444444,36
"CFA_Pyrenew-PyrenewHEW_COVID","24",0.000619765634227006,0.000983800977908318,0.527777777777778,1,36
"CFA_Pyrenew-PyrenewHEW_COVID","23",0.000766580027990397,0.00115464243595779,0.444444444444444,0.888888888888889,36
"CFA_Pyrenew-PyrenewHEW_COVID","26",0.000603802348365965,0.000974702707807727,0.352941176470588,0.970588235294118,34
"CFA_Pyrenew-PyrenewHEW_COVID","27",0.000734576107757239,0.00118912019508207,0.416666666666667,0.972222222222222,36
"CFA_Pyrenew-PyrenewHEW_COVID","28",0.00168392765296587,0.00274120235757606,0.333333333333333,0.916666666666667,36
"CFA_Pyrenew-PyrenewHEW_COVID","30",0.000894788308741901,0.00145780488335926,0.444444444444444,0.972222222222222,36
"CFA_Pyrenew-PyrenewHEW_COVID","37",0.000949034737446595,0.00152834104501006,0.472222222222222,0.972222222222222,36
"CFA_Pyrenew-PyrenewHEW_COVID","31",0.000671749904668118,0.0010664877021519,0.472222222222222,0.972222222222222,36
"CFA_Pyrenew-PyrenewHEW_COVID","33",0.000962590045660391,0.0014602044368096,0.527777777777778,0.944444444444444,36
"CFA_Pyrenew-PyrenewHEW_COVID","34",0.00044754287002332,0.000673869422794714,0.694444444444444,0.944444444444444,36
"CFA_Pyrenew-PyrenewHEW_COVID","35",0.00115935569370207,0.00187469855362139,0.388888888888889,0.916666666666667,36
"CFA_Pyrenew-PyrenewHEW_COVID","32",0.000865141995002881,0.00136878627478563,0.388888888888889,0.861111111111111,36
"CFA_Pyrenew-PyrenewHEW_COVID","39",0.000583271319208492,0.000961590657840999,0.607142857142857,1,28
"CFA_Pyrenew-PyrenewHEW_COVID","40",0.000619785531986893,0.00101297330445317,0.555555555555556,1,36
"CFA_Pyrenew-PyrenewHEW_COVID","41",0.000772055749087637,0.00117547519392106,0.527777777777778,0.944444444444444,36
"CFA_Pyrenew-PyrenewHEW_COVID","42",0.000374492561727711,0.000580371487174572,0.527777777777778,1,36
"CFA_Pyrenew-PyrenewHEW_COVID","44",0.000722338150354511,0.00110361611205461,0.533333333333333,0.966666666666667,30
"CFA_Pyrenew-PyrenewHEW_COVID","45",0.00116200803460646,0.00185044321226345,0.529411764705882,0.941176470588235,34
"CFA_Pyrenew-PyrenewHEW_COVID","46",0.000973279105395924,0.00149001960795285,0.444444444444444,0.861111111111111,36
"CFA_Pyrenew-PyrenewHEW_COVID","51",0.000631704416834588,0.000982818373548698,0.470588235294118,0.911764705882353,34
"CFA_Pyrenew-PyrenewHEW_COVID","50",0.00112397015583861,0.00165050154233035,0.361111111111111,0.916666666666667,36
"CFA_Pyrenew-PyrenewHEW_COVID","53",0.000811778204654229,0.00131391259041167,0.555555555555556,0.972222222222222,36
"CFA_Pyrenew-PyrenewHEW_COVID","55",0.000551280016265007,0.00084658663654495,0.638888888888889,0.972222222222222,36
"CFA_Pyrenew-PyrenewHEW_COVID","54",0.000899197958433765,0.0013710645526635,0.527777777777778,0.972222222222222,36
"CFA_Pyrenew-PyrenewHEW_COVID","48",0.00140652149557348,0.00214124198737993,0.566666666666667,0.9,30
"CFA_Pyrenew-PyrenewHEW_COVID","49",0.00176277643827271,0.00272589442132756,0.4,0.9,20
"CFA_Pyrenew-PyrenewHEW_COVID","36",0.000482004546133448,0.00074758405842996,0.5,0.9,10
"CFA_Pyrenew-Pyrenew_E_COVID","02",0.000765314772479767,0.00121684706409587,0.557377049180328,1,64
"CFA_Pyrenew-Pyrenew_E_COVID","01",0.00131945559489955,0.00206310641937197,0.377049180327869,0.852459016393443,64
"CFA_Pyrenew-Pyrenew_E_COVID","05",0.00141415364971334,0.00223777739771366,0.448979591836735,0.897959183673469,52
"CFA_Pyrenew-Pyrenew_E_COVID","04",0.000552406313733426,0.000835942417263448,0.442622950819672,0.852459016393443,64
"CFA_Pyrenew-Pyrenew_E_COVID","06",0.00044007645512162,0.000683636199490593,0.540983606557377,0.950819672131147,64
"CFA_Pyrenew-Pyrenew_E_COVID","08",0.00054268323830797,0.000807553456065903,0.590163934426229,0.967213114754098,64
"CFA_Pyrenew-Pyrenew_E_COVID","09",0.00209373668286998,0.00297462945138648,0.0555555555555556,0.388888888888889,54
"CFA_Pyrenew-Pyrenew_E_COVID","11",0.00122697198492892,0.00201131571917619,0.454545454545455,0.963636363636364,58
"CFA_Pyrenew-Pyrenew_E_COVID","10",0.00107675987919953,0.00167705486300815,0.557377049180328,0.934426229508197,64
"CFA_Pyrenew-Pyrenew_E_COVID","12",0.000873268972982881,0.00134994748270802,0.360655737704918,0.819672131147541,64
"CFA_Pyrenew-Pyrenew_E_COVID","13",0.000947531670665835,0.00150452136860002,0.423728813559322,0.932203389830508,62
"CFA_Pyrenew-Pyrenew_E_COVID","15",0.00112249912791653,0.0017240854011609,0.557377049180328,0.950819672131147,64
"CFA_Pyrenew-Pyrenew_E_COVID","19",0.00110021353201968,0.00170351275223214,0.475409836065574,0.950819672131147,64
"CFA_Pyrenew-Pyrenew_E_COVID","16",0.000847593149443115,0.00136703212672786,0.474576271186441,0.949152542372881,62
"CFA_Pyrenew-Pyrenew_E_COVID","17",0.00111049654326122,0.00170928931475075,0.360655737704918,0.836065573770492,64
"CFA_Pyrenew-Pyrenew_E_COVID","18",0.000914380099311978,0.00142481542734917,0.491803278688525,0.950819672131147,64
"CFA_Pyrenew-Pyrenew_E_COVID","20",0.000606470601477543,0.000999707527225004,0.524590163934426,1,64
"CFA_Pyrenew-Pyrenew_E_COVID","21",0.000803461099330687,0.00126299115581111,0.459016393442623,0.967213114754098,64
"CFA_Pyrenew-Pyrenew_E_COVID","22",0.00103338902690988,0.00160350443389682,0.491803278688525,0.950819672131147,64
"CFA_Pyrenew-Pyrenew_E_COVID","25",0.000711769833553532,0.00114019427159788,0.491803278688525,0.918032786885246,64
"CFA_Pyrenew-Pyrenew_E_COVID","24",0.000600975965488086,0.000938469465849836,0.491803278688525,1,64
"CFA_Pyrenew-Pyrenew_E_COVID","23",0.00125726766773556,0.00191919613812352,0.442622950819672,0.819672131147541,64
"CFA_Pyrenew-Pyrenew_E_COVID","26",0.000769633152003826,0.00125969716343162,0.442622950819672,0.950819672131147,64
"CFA_Pyrenew-Pyrenew_E_COVID","27",0.000795563525224201,0.00123045536671838,0.508196721311475,0.950819672131147,64
"CFA_Pyrenew-Pyrenew_E_COVID","28",0.00129955510574256,0.0021051899666063,0.360655737704918,0.934426229508197,64
"CFA_Pyrenew-Pyrenew_E_COVID","30",0.000827217755908318,0.00133793569788939,0.475409836065574,0.983606557377049,64
"CFA_Pyrenew-Pyrenew_E_COVID","37",0.00079804409863634,0.00124412812749466,0.459016393442623,0.967213114754098,64
"CFA_Pyrenew-Pyrenew_E_COVID","38",0.000998074065395303,0.00157981936103406,0.557377049180328,0.934426229508197,64
"CFA_Pyrenew-Pyrenew_E_COVID","31",0.000886194617248977,0.00145648239484371,0.491803278688525,0.983606557377049,64
"CFA_Pyrenew-Pyrenew_E_COVID","33",0.00113343505189665,0.00179717290142709,0.524590163934426,0.967213114754098,64
"CFA_Pyrenew-Pyrenew_E_COVID","34",0.000498605862764812,0.000780408718492088,0.557377049180328,0.901639344262295,64
"CFA_Pyrenew-Pyrenew_E_COVID","35",0.00129527439672522,0.00214653979726341,0.305084745762712,0.88135593220339,62
"CFA_Pyrenew-Pyrenew_E_COVID","32",0.000643897271957857,0.000994424986772814,0.426229508196721,0.918032786885246,64
"CFA_Pyrenew-Pyrenew_E_COVID","36",0.000397264717026452,0.000636130844141868,0.491803278688525,0.950819672131147,64
"CFA_Pyrenew-Pyrenew_E_COVID","39",0.000830135143668992,0.00129410309662689,0.491803278688525,0.950819672131147,64
"CFA_Pyrenew-Pyrenew_E_COVID","40",0.000833620385318686,0.00133388205244558,0.60655737704918,1,64
"CFA_Pyrenew-Pyrenew_E_COVID","41",0.000569034867988158,0.000902366452748676,0.475409836065574,0.967213114754098,64
"CFA_Pyrenew-Pyrenew_E_COVID","42",0.0006328175388414,0.000960686398388125,0.475409836065574,0.950819672131147,64
"CFA_Pyrenew-Pyrenew_E_COVID","44",0.000887182575857803,0.0013989768836656,0.60377358490566,0.981132075471698,56
"CFA_Pyrenew-Pyrenew_E_COVID","45",0.00114458799850759,0.00178454957991759,0.372881355932203,0.864406779661017,62
"CFA_Pyrenew-Pyrenew_E_COVID","46",0.00131478060886627,0.00202145781738311,0.440677966101695,0.898305084745763,62
"CFA_Pyrenew-Pyrenew_E_COVID","47",0.000861400579145542,0.00132667734403904,0.360655737704918,0.918032786885246,64
"CFA_Pyrenew-Pyrenew_E_COVID","48",0.00087816157507097,0.00129722537328832,0.39344262295082,0.918032786885246,64
"CFA_Pyrenew-Pyrenew_E_COVID","49",0.00096554901611226,0.00156091898622664,0.446808510638298,0.978723404255319,50
"CFA_Pyrenew-Pyrenew_E_COVID","51",0.000820418514574804,0.00129984617131563,0.426229508196721,0.868852459016393,64
"CFA_Pyrenew-Pyrenew_E_COVID","50",0.0011129394715197,0.00178771823871523,0.426229508196721,0.967213114754098,64
"CFA_Pyrenew-Pyrenew_E_COVID","53",0.000644923036445699,0.000981207852885301,0.491803278688525,0.868852459016393,64
"CFA_Pyrenew-Pyrenew_E_COVID","55",0.000695231137136403,0.00108000910251811,0.557377049180328,0.967213114754098,64
"CFA_Pyrenew-Pyrenew_E_COVID","54",0.00146180427242597,0.00226445013315201,0.442622950819672,0.967213114754098,64
"CFA_Pyrenew-Pyrenew_HE_COVID","25",0.000727711012985884,0.00116397493663231,0.474576271186441,0.949152542372881,62
"CFA_Pyrenew-Pyrenew_HE_COVID","02",0.000769840351379259,0.00121941308788343,0.593220338983051,1,62
"CFA_Pyrenew-Pyrenew_HE_COVID","01",0.00131946633325206,0.00203618125104547,0.389830508474576,0.864406779661017,62
"CFA_Pyrenew-Pyrenew_HE_COVID","05",0.00149095706349094,0.00230944519844691,0.404255319148936,0.893617021276596,50
"CFA_Pyrenew-Pyrenew_HE_COVID","04",0.000533731661428626,0.000805504987110537,0.525423728813559,0.898305084745763,62
"CFA_Pyrenew-Pyrenew_HE_COVID","06",0.000461655243467348,0.000732777426753617,0.491525423728814,0.932203389830508,62
"CFA_Pyrenew-Pyrenew_HE_COVID","08",0.000546101899657126,0.000820279570824865,0.543859649122807,1,60
"CFA_Pyrenew-Pyrenew_HE_COVID","09",0.00207791823624245,0.0029991675785457,0.037037037037037,0.444444444444444,54
"CFA_Pyrenew-Pyrenew_HE_COVID","11",0.00125121938094766,0.00208225758383988,0.442307692307692,0.961538461538462,55
"CFA_Pyrenew-Pyrenew_HE_COVID","10",0.00139563803477378,0.00203889548204518,0.440677966101695,0.88135593220339,62
"CFA_Pyrenew-Pyrenew_HE_COVID","12",0.000837924532258911,0.00134678866059706,0.322033898305085,0.88135593220339,62
"CFA_Pyrenew-Pyrenew_HE_COVID","13",0.000964262296112111,0.00151432217992381,0.421052631578947,0.912280701754386,60
"CFA_Pyrenew-Pyrenew_HE_COVID","15",0.00113486193123947,0.00170473393659522,0.593220338983051,0.949152542372881,62
"CFA_Pyrenew-Pyrenew_HE_COVID","19",0.00118184776691402,0.00183430268590156,0.474576271186441,0.932203389830508,62
"CFA_Pyrenew-Pyrenew_HE_COVID","16",0.000898610074135219,0.0014487919161215,0.491228070175439,0.947368421052632,60
"CFA_Pyrenew-Pyrenew_HE_COVID","17",0.00118469220178612,0.00180764764255187,0.322033898305085,0.779661016949153,62
"CFA_Pyrenew-Pyrenew_HE_COVID","18",0.000999121793708253,0.00157843085857819,0.508474576271186,0.949152542372881,62
"CFA_Pyrenew-Pyrenew_HE_COVID","20",0.000637805461525423,0.00105786736739977,0.491525423728814,1,62
"CFA_Pyrenew-Pyrenew_HE_COVID","21",0.00082313339253668,0.00128637631609854,0.474576271186441,0.949152542372881,62
"CFA_Pyrenew-Pyrenew_HE_COVID","22",0.00103856684849302,0.00160366137807649,0.491525423728814,0.949152542372881,62
"CFA_Pyrenew-Pyrenew_HE_COVID","24",0.000644025447636988,0.00102220549672613,0.542372881355932,0.983050847457627,62
"CFA_Pyrenew-Pyrenew_HE_COVID","23",0.00133661961669396,0.00204447107044017,0.385964912280702,0.824561403508772,60
"CFA_Pyrenew-Pyrenew_HE_COVID","26",0.000802044740795791,0.00131928297436471,0.423728813559322,0.966101694915254,62
"CFA_Pyrenew-Pyrenew_HE_COVID","27",0.00084271562143761,0.0012869158091813,0.457627118644068,0.932203389830508,62
"CFA_Pyrenew-Pyrenew_HE_COVID","28",0.0013906944871237,0.00226480163123518,0.389830508474576,0.932203389830508,62
"CFA_Pyrenew-Pyrenew_HE_COVID","30",0.000845136329984605,0.00134232442258635,0.508771929824561,0.982456140350877,60
"CFA_Pyrenew-Pyrenew_HE_COVID","37",0.000837886059075804,0.00131026425198013,0.457627118644068,0.983050847457627,62
"CFA_Pyrenew-Pyrenew_HE_COVID","38",0.00111151565181674,0.00178979487908511,0.474576271186441,0.915254237288136,62
"CFA_Pyrenew-Pyrenew_HE_COVID","31",0.000924401344843827,0.00153803739044644,0.440677966101695,0.983050847457627,62
"CFA_Pyrenew-Pyrenew_HE_COVID","33",0.00122671149094809,0.00196616779270906,0.440677966101695,0.949152542372881,62
"CFA_Pyrenew-Pyrenew_HE_COVID","34",0.000499862958903175,0.000785170538743139,0.627118644067797,0.932203389830508,62
"CFA_Pyrenew-Pyrenew_HE_COVID","35",0.00132521458415151,0.00214863211618373,0.315789473684211,0.894736842105263,60
"CFA_Pyrenew-Pyrenew_HE_COVID","32",0.000635193117262067,0.000973805140565742,0.418181818181818,0.927272727272727,58
"CFA_Pyrenew-Pyrenew_HE_COVID","36",0.000418978297252499,0.000646925613488018,0.525423728813559,0.949152542372881,62
"CFA_Pyrenew-Pyrenew_HE_COVID","39",0.000913807734391006,0.00139120891465543,0.491525423728814,0.932203389830508,62
"CFA_Pyrenew-Pyrenew_HE_COVID","40",0.000875045737686149,0.00138898473097889,0.610169491525424,1,62
"CFA_Pyrenew-Pyrenew_HE_COVID","41",0.000571132443014891,0.000901864730884009,0.440677966101695,0.966101694915254,62
"CFA_Pyrenew-Pyrenew_HE_COVID","42",0.000672237669649105,0.00102160113870167,0.457627118644068,0.949152542372881,62
"CFA_Pyrenew-Pyrenew_HE_COVID","44",0.000938508127681676,0.00153975976737072,0.510204081632653,0.979591836734694,52
"CFA_Pyrenew-Pyrenew_HE_COVID","45",0.00117594476505901,0.0017906591516626,0.403508771929825,0.87719298245614,60
"CFA_Pyrenew-Pyrenew_HE_COVID","46",0.00151808419465541,0.00225131960383945,0.473684210526316,0.859649122807018,60
"CFA_Pyrenew-Pyrenew_HE_COVID","47",0.000920460680342307,0.00141924605982841,0.389830508474576,0.898305084745763,62
"CFA_Pyrenew-Pyrenew_HE_COVID","48",0.000875972056932864,0.00127043933744817,0.491525423728814,0.915254237288136,62
"CFA_Pyrenew-Pyrenew_HE_COVID","49",0.00097434981178278,0.00159429467727903,0.444444444444444,1,48
"CFA_Pyrenew-Pyrenew_HE_COVID","51",0.000810826023319313,0.00126391525379615,0.474576271186441,0.898305084745763,62
"CFA_Pyrenew-Pyrenew_HE_COVID","50",0.00123559486166372,0.00192345614064956,0.457627118644068,0.915254237288136,62
"CFA_Pyrenew-Pyrenew_HE_COVID","53",0.000555964607576955,0.000844412339775208,0.593220338983051,0.915254237288136,62
"CFA_Pyrenew-Pyrenew_HE_COVID","55",0.000754963946932328,0.00114710323602964,0.593220338983051,0.966101694915254,62
"CFA_Pyrenew-Pyrenew_HE_COVID","54",0.00152801694088962,0.00237331485262542,0.474576271186441,0.966101694915254,62
"CMU-TimeSeries","02",0.00119434432642562,0.00182976465186351,0.456140350877193,0.929824561403509,124
"CMU-TimeSeries","01",0.00232704632763464,0.00362198429120699,0.210526315789474,0.859649122807018,124
"CMU-TimeSeries","05",0.00165382489863166,0.00260855648587854,0.350877192982456,0.850877192982456,124
"CMU-TimeSeries","04",0.00132278585890514,0.00207301762225064,0.429824561403509,0.93859649122807,124
"CMU-TimeSeries","06",0.00131505259586364,0.00218609800062731,0.543859649122807,0.973684210526316,124
"CMU-TimeSeries","08",0.00116687240828784,0.00193799737726467,0.385964912280702,0.947368421052632,124
"CMU-TimeSeries","09",0.00138809066249093,0.00228959665213832,0.527272727272727,0.945454545454545,120
"CMU-TimeSeries","11",0.00195317575517907,0.00287924519348768,0.254385964912281,0.754385964912281,124
"CMU-TimeSeries","10",0.00175118058931084,0.00266567094936529,0.37719298245614,0.850877192982456,124
"CMU-TimeSeries","12",0.00197037593548172,0.00305493387185288,0.473684210526316,0.912280701754386,124
"CMU-TimeSeries","13",0.00175899977218157,0.00271395485170302,0.350877192982456,0.850877192982456,124
"CMU-TimeSeries","15",0.00330339926934352,0.00474749586752629,0.289473684210526,0.710526315789474,124
"CMU-TimeSeries","19",0.00217809395096528,0.00331754774635791,0.403508771929825,0.859649122807018,124
"CMU-TimeSeries","16",0.00134645033683074,0.00217616522049518,0.359649122807018,0.894736842105263,124
"CMU-TimeSeries","17",0.00201274728571018,0.00301466180785479,0.429824561403509,0.833333333333333,124
