"model_id","target_end_date","wis","ae_median","interval_coverage_50","interval_coverage_95","n"
"CFA_Pyrenew-PyrenewHEW_COVID",2025-06-28,0.000317391082220832,0.000500098385295792,0.5,0.931818181818182,45
"CFA_Pyrenew-PyrenewHEW_COVID",2025-07-05,0.000528653822612201,0.000818207886129174,0.352272727272727,0.863636363636364,90
"CFA_Pyrenew-PyrenewHEW_COVID",2025-07-12,0.000608296447474079,0.000914800652410503,0.522727272727273,0.920454545454545,90
"CFA_Pyrenew-PyrenewHEW_COVID",2025-07-19,0.000620099231432264,0.000950100268736275,0.454545454545455,0.931818181818182,90
"CFA_Pyrenew-PyrenewHEW_COVID",2025-07-26,0.000754528573192326,0.00120426834168451,0.409090909090909,0.931818181818182,90
"CFA_Pyrenew-PyrenewHEW_COVID",2025-08-02,0.000939908890119599,0.00147468052560877,0.404494382022472,0.865168539325843,91
"CFA_Pyrenew-PyrenewHEW_COVID",2025-08-09,0.000915966012897097,0.00146279595662677,0.472527472527473,0.956043956043956,93
"CFA_Pyrenew-PyrenewHEW_COVID",2025-08-16,0.00112011687500694,0.00171162451285951,0.483516483516484,0.967032967032967,93
"CFA_Pyrenew-PyrenewHEW_COVID",2025-08-23,0.00115468083961755,0.00173249591800511,0.56043956043956,0.923076923076923,93
"CFA_Pyrenew-PyrenewHEW_COVID",2025-08-30,0.00133844770071936,0.0020342040093008,0.554347826086957,0.923913043478261,94
"CFA_Pyrenew-PyrenewHEW_COVID",2025-09-06,0.00162176618654191,0.00249093828815888,0.466666666666667,0.911111111111111,92
"CFA_Pyrenew-PyrenewHEW_COVID",2025-09-13,0.00135800337054825,0.00212753223133651,0.50561797752809,0.943820224719101,91
"CFA_Pyrenew-PyrenewHEW_COVID",2025-09-20,0.00123400922789622,0.00189629666246622,0.483516483516484,0.934065934065934,93
"CFA_Pyrenew-PyrenewHEW_COVID",2025-11-29,0.00063353273691221,0.00092987968678854,0.534883720930233,0.918604651162791,88
"CFA_Pyrenew-PyrenewHEW_COVID",2025-12-06,0.000634892809050903,0.00101222721252076,0.470588235294118,0.976470588235294,87
"CFA_Pyrenew-PyrenewHEW_COVID",2025-09-27,0.00111826026738955,0.00176702571851145,0.415730337078652,0.898876404494382,91
"CFA_Pyrenew-PyrenewHEW_COVID",2025-11-22,0.000399096255338037,0.000595102446570188,0.558139534883721,0.906976744186046,44
"CFA_Pyrenew-PyrenewHEW_COVID",2025-10-04,0.000880776457081704,0.00143236261896559,0.372093023255814,0.976744186046512,44
"CFA_Pyrenew-PyrenewHEW_COVID",2025-12-13,0.000614570162930966,0.00096932107972878,0.541176470588235,0.964705882352941,87
"CFA_Pyrenew-Pyrenew_E_COVID",2025-06-28,0.000464968895579445,0.000741357295982931,0.438775510204082,0.918367346938776,100
"CFA_Pyrenew-Pyrenew_E_COVID",2025-07-05,0.000501943127754807,0.00079897180540154,0.316326530612245,0.897959183673469,100
"CFA_Pyrenew-PyrenewHEW_COVID",2025-12-20,0.00124541210769173,0.00206118231076598,0.302325581395349,0.930232558139535,44
"CFA_Pyrenew-Pyrenew_E_COVID",2025-06-21,0.000397800166193276,0.000626933170295432,0.36734693877551,0.836734693877551,50
"CFA_Pyrenew-Pyrenew_E_COVID",2025-07-12,0.000601599327457668,0.000936608418162884,0.448979591836735,0.928571428571429,100
"CFA_Pyrenew-Pyrenew_E_COVID",2025-07-19,0.00054212938497839,0.00085958690850031,0.428571428571429,0.938775510204082,100
"CFA_Pyrenew-Pyrenew_E_COVID",2025-07-26,0.000674079240680823,0.00107128440157665,0.377551020408163,0.918367346938776,100
"CFA_Pyrenew-Pyrenew_E_COVID",2025-08-02,0.000916040333537151,0.00141962462777568,0.346938775510204,0.836734693877551,100
"CFA_Pyrenew-Pyrenew_E_COVID",2025-08-09,0.000863891837798947,0.00138066016289631,0.428571428571429,0.938775510204082,100
"CFA_Pyrenew-Pyrenew_E_COVID",2025-08-16,0.00102332807059782,0.00163602659735533,0.428571428571429,0.938775510204082,100
"CFA_Pyrenew-Pyrenew_E_COVID",2025-08-23,0.00105922530741713,0.00166139873786598,0.520408163265306,0.948979591836735,100
"CFA_Pyrenew-Pyrenew_E_COVID",2025-08-30,0.00116393381997236,0.0017667174761373,0.561224489795918,0.948979591836735,100
"CFA_Pyrenew-Pyrenew_E_COVID",2025-09-06,0.00146362249176302,0.00222924708224357,0.530612244897959,0.918367346938776,100
"CFA_Pyrenew-Pyrenew_E_COVID",2025-09-13,0.00117591504624565,0.00185388167848257,0.530612244897959,0.959183673469388,100
"CFA_Pyrenew-Pyrenew_E_COVID",2025-09-20,0.00115056916516808,0.00176406179008323,0.469387755102041,0.928571428571429,100
"CFA_Pyrenew-Pyrenew_E_COVID",2025-09-27,0.00102919697664914,0.00162336332896246,0.410526315789474,0.91578947368421,97
"CFA_Pyrenew-Pyrenew_E_COVID",2025-10-04,0.000844466256359208,0.00139104417800824,0.478260869565217,0.978260869565217,47
"CFA_Pyrenew-Pyrenew_E_COVID",2025-11-22,0.000383583090082614,0.000572683280877548,0.652173913043478,0.934782608695652,47
"CFA_Pyrenew-Pyrenew_E_COVID",2025-11-29,0.000626546960433081,0.000953428248057294,0.565217391304348,0.91304347826087,94
"CFA_Pyrenew-Pyrenew_E_COVID",2025-12-06,0.000599228537319924,0.000945466338016846,0.526881720430108,0.967741935483871,95
"CFA_Pyrenew-Pyrenew_E_COVID",2025-12-13,0.000629611523966918,0.000992606020058858,0.483870967741935,0.956989247311828,95
"CFA_Pyrenew-Pyrenew_E_COVID",2025-12-20,0.00108375705108533,0.00173172672558052,0.336842105263158,0.884210526315789,97
"CFA_Pyrenew-Pyrenew_E_COVID",2025-12-27,0.00149195033965248,0.00227306299794535,0.408602150537634,0.881720430107527,95
"CFA_Pyrenew-Pyrenew_E_COVID",2026-01-03,0.00123499215253681,0.00189795580587559,0.388888888888889,0.844444444444444,92
"CFA_Pyrenew-Pyrenew_E_COVID",2026-01-10,0.00157069482990416,0.00244681076595502,0.473684210526316,0.852631578947368,97
"CFA_Pyrenew-Pyrenew_E_COVID",2026-01-17,0.00106456142135022,0.00174189782883955,0.387755102040816,0.959183673469388,100
"CFA_Pyrenew-Pyrenew_E_COVID",2026-01-24,0.00135640538593267,0.00213087791531895,0.288659793814433,0.835051546391753,99
"CFA_Pyrenew-Pyrenew_E_COVID",2026-01-31,0.00108719524302899,0.00172591706934717,0.484536082474227,0.907216494845361,99
"CFA_Pyrenew-Pyrenew_E_COVID",2026-02-07,0.000980032340605805,0.00153963782591984,0.530612244897959,0.969387755102041,100
"CFA_Pyrenew-Pyrenew_E_COVID",2026-02-14,0.000731827588124867,0.00114026700878243,0.56701030927835,0.979381443298969,99
"CFA_Pyrenew-Pyrenew_E_COVID",2026-02-21,0.000794774090630894,0.0012824754946098,0.521276595744681,0.98936170212766,96
"CFA_Pyrenew-Pyrenew_E_COVID",2026-02-28,0.000806771861191075,0.00125577022372291,0.563829787234043,0.946808510638298,96
"CFA_Pyrenew-Pyrenew_E_COVID",2026-03-07,0.000546027505306454,0.000819096809847417,0.645833333333333,0.989583333333333,98
"CFA_Pyrenew-Pyrenew_HE_COVID",2025-07-05,0.000519880893012221,0.000807879673082567,0.346938775510204,0.86734693877551,100
"CFA_Pyrenew-Pyrenew_HE_COVID",2025-07-12,0.000623762825825922,0.00095750483899432,0.438775510204082,0.928571428571429,100
"CFA_Pyrenew-Pyrenew_HE_COVID",2025-07-19,0.000582850505716714,0.000919340161035784,0.443298969072165,0.948453608247423,99
"CFA_Pyrenew-Pyrenew_HE_COVID",2025-06-28,0.000334357787362425,0.000529444465005235,0.428571428571429,0.938775510204082,50
"CFA_Pyrenew-Pyrenew_HE_COVID",2025-07-26,0.000675173832514537,0.00108284865169956,0.391752577319588,0.927835051546392,99
"CFA_Pyrenew-Pyrenew_HE_COVID",2025-08-02,0.000883747409226623,0.00139084980422787,0.377551020408163,0.86734693877551,100
"CFA_Pyrenew-Pyrenew_HE_COVID",2025-08-09,0.000852562407056682,0.00134865491020983,0.448979591836735,0.948979591836735,100
"CFA_Pyrenew-Pyrenew_HE_COVID",2025-08-16,0.0010855338733544,0.0017010955235971,0.459183673469388,0.928571428571429,100
"CFA_Pyrenew-Pyrenew_HE_COVID",2025-08-23,0.00112829688067265,0.0017053726623228,0.510416666666667,0.927083333333333,98
"CFA_Pyrenew-Pyrenew_HE_COVID",2025-08-30,0.0012527141842309,0.00190679813598001,0.537634408602151,0.935483870967742,95
"CFA_Pyrenew-Pyrenew_HE_COVID",2025-09-06,0.0014627028860411,0.00221498773805978,0.547368421052632,0.91578947368421,97
"CFA_Pyrenew-Pyrenew_HE_COVID",2025-09-13,0.00116806971340741,0.00182202433309987,0.530612244897959,0.959183673469388,100
"CFA_Pyrenew-Pyrenew_HE_COVID",2025-09-20,0.0011799699892501,0.00181407452121784,0.479591836734694,0.928571428571429,100
"CFA_Pyrenew-Pyrenew_HE_COVID",2025-09-27,0.00106896310633038,0.00169865922583133,0.389473684210526,0.926315789473684,97
"CFA_Pyrenew-Pyrenew_HE_COVID",2025-11-22,0.000375832176587471,0.000561834228866559,0.58695652173913,0.91304347826087,47
"CFA_Pyrenew-Pyrenew_HE_COVID",2025-11-29,0.000642380504280014,0.000955305856425545,0.554347826086957,0.891304347826087,94
"CFA_Pyrenew-Pyrenew_HE_COVID",2025-10-04,0.000895527430626527,0.00144388053218238,0.41304347826087,0.934782608695652,47
"CFA_Pyrenew-Pyrenew_HE_COVID",2025-12-06,0.000611089470790894,0.000962044138563433,0.516129032258065,0.967741935483871,95
"CFA_Pyrenew-Pyrenew_HE_COVID",2025-12-13,0.000643921458752865,0.00102402495350474,0.516129032258065,0.967741935483871,95
"CFA_Pyrenew-Pyrenew_HE_COVID",2025-12-20,0.00111852723030967,0.00176010475288915,0.336842105263158,0.852631578947368,97
"CFA_Pyrenew-Pyrenew_HE_COVID",2025-12-27,0.00160030173106247,0.00238217043531662,0.387096774193548,0.827956989247312,95
"CFA_Pyrenew-Pyrenew_HE_COVID",2026-01-03,0.00136130246484688,0.00206858812288671,0.4,0.833333333333333,92
"CFA_Pyrenew-Pyrenew_HE_COVID",2026-01-10,0.00158234007330629,0.00248625955926307,0.463157894736842,0.873684210526316,97
"CFA_Pyrenew-Pyrenew_HE_COVID",2026-01-17,0.00109498592895145,0.00177375632923672,0.438775510204082,0.938775510204082,100
"CFA_Pyrenew-Pyrenew_HE_COVID",2026-01-24,0.00139384589908353,0.00225250933053848,0.237113402061856,0.865979381443299,99
"CFA_Pyrenew-Pyrenew_HE_COVID",2026-01-31,0.00112584606127616,0.00182264723455251,0.422680412371134,0.927835051546392,99
"CFA_Pyrenew-Pyrenew_HE_COVID",2026-02-07,0.000967288843506256,0.00153189235658587,0.5,0.969387755102041,100
"CFA_Pyrenew-Pyrenew_HE_COVID",2026-02-14,0.000743874838852092,0.0011514547154861,0.551020408163265,0.979591836734694,100
"CFA_Pyrenew-Pyrenew_HE_COVID",2026-02-21,0.000867766734279304,0.00137788725059734,0.568421052631579,1,97
"CFA_Pyrenew-Pyrenew_HE_COVID",2026-02-28,0.000801588093566316,0.00123039619162891,0.56989247311828,0.967741935483871,95
"CFA_Pyrenew-Pyrenew_HE_COVID",2026-03-07,0.000602780340064657,0.00090198104436903,0.604166666666667,0.989583333333333,98
"CMU-TimeSeries",2025-06-28,0.000387965989203664,0.000618040256568341,0.38,0.92,50
"CMU-TimeSeries",2025-07-05,0.000517214098747703,0.000847094721331641,0.29,0.9,100
"CMU-TimeSeries",2025-07-12,0.000778313913963105,0.00122252186469161,0.386666666666667,0.9,150
"CMU-TimeSeries",2025-07-19,0.000992356047979858,0.00161505691182724,0.385,0.9,200
"CMU-TimeSeries",2025-07-26,0.0012587800001572,0.00204341915418879,0.3,0.88,200
"CMU-TimeSeries",2025-08-02,0.00164702642560121,0.00269288971076142,0.24,0.865,200
"CMU-TimeSeries",2025-08-09,0.00182283968099374,0.00305364047548123,0.26,0.905,200
"CMU-TimeSeries",2025-08-16,0.00209821481296155,0.00344693433257674,0.335,0.875,200
"CMU-TimeSeries",2025-08-23,0.00200153042670161,0.00339047910884031,0.435,0.91,200
"CMU-TimeSeries",2025-08-30,0.00171529311281995,0.00285962055281451,0.56,0.945,200
"CMU-TimeSeries",2025-09-06,0.00205426515739982,0.00327952662489355,0.58,0.93,200
"CMU-TimeSeries",2025-09-13,0.00284060089370599,0.00429204532220773,0.555,0.82,200
"CMU-TimeSeries",2025-09-20,0.00351647167766586,0.00505860503553051,0.415,0.755,200
"CMU-TimeSeries",2025-09-27,0.00362761745269733,0.00524243929491597,0.231155778894472,0.738693467336683,199
"CMU-TimeSeries",2025-10-04,0.00376285321438416,0.00544645287644747,0.134228187919463,0.583892617449664,149
"CMU-TimeSeries",2025-10-11,0.00294604845475227,0.00432058350669626,0.101010101010101,0.565656565656566,99
"CMU-TimeSeries",2025-10-18,0.00266295009479287,0.0037728886694261,0.0816326530612245,0.510204081632653,49
"CMU-TimeSeries",2025-11-22,0.000390216725585287,0.000614826378553392,0.4375,0.979166666666667,48
"CMU-TimeSeries",2025-11-29,0.000667958210630402,0.00106385345292998,0.494845360824742,0.896907216494845,97
"CMU-TimeSeries",2025-12-06,0.00083603664917888,0.0013613884288766,0.431506849315068,0.972602739726027,146
"CMU-TimeSeries",2025-12-13,0.0009089895326436,0.00148776061597204,0.487179487179487,0.953846153846154,195
"CMU-TimeSeries",2025-12-20,0.00155230200089514,0.0025402127168478,0.270408163265306,0.872448979591837,196
"CMU-TimeSeries",2025-12-27,0.00324637633662821,0.00476873203666001,0.147959183673469,0.658163265306122,196
"CMU-TimeSeries",2026-01-03,0.00299835665130949,0.00454429750529524,0.219387755102041,0.801020408163265,196
"CMU-TimeSeries",2026-01-10,0.00169026816134,0.00278679804015137,0.489795918367347,0.933673469387755,196
"CMU-TimeSeries",2026-01-17,0.00147603718873149,0.00243224310890357,0.505102040816326,0.969387755102041,196
"CMU-TimeSeries",2026-01-24,0.0013976056246943,0.00221614390862637,0.510204081632653,0.979591836734694,196
"CMU-TimeSeries",2026-01-31,0.00109631216378627,0.00168239134644473,0.602040816326531,0.98469387755102,196
"CMU-TimeSeries",2026-02-07,0.000848346010999195,0.0012379690433132,0.658163265306122,0.994897959183674,196
"CMU-TimeSeries",2026-02-14,0.000841417777656662,0.0012288229356469,0.678571428571429,0.994897959183674,196
"CMU-TimeSeries",2026-02-21,0.000806456768908561,0.00110705315200492,0.668367346938776,0.994897959183674,196
"CMU-TimeSeries",2026-02-28,0.000958226852633475,0.00143350363719378,0.48469387755102,0.948979591836735,196
"CMU-TimeSeries",2026-03-07,0.00105896327357898,0.00164850965565532,0.397959183673469,0.913265306122449,196
"CovidHub-baseline",2025-06-21,0.000528423052173913,0.000576,0.86,1,50
"CovidHub-baseline",2025-06-28,0.000632320299352972,0.000687,0.91,1,100
"CovidHub-baseline",2025-07-05,0.000749011765029056,0.000910665959992933,0.926666666666667,1,150
"CovidHub-baseline",2025-07-12,0.00097323729005139,0.00125949953249533,0.85,0.99,200
"CovidHub-baseline",2025-07-19,0.00107150707092372,0.00161899962124621,0.805,1,200
"CovidHub-baseline",2025-07-26,0.00132337310978222,0.0021354991099911,0.69,0.985,200
"CovidHub-baseline",2025-08-02,0.00169936760965339,0.00291299920499205,0.48,0.99,200
"CovidHub-baseline",2025-08-09,0.00201800056458041,0.003505,0.32,0.97,200
"CovidHub-baseline",2025-08-16,0.00262543882340701,0.0043575,0.25,0.91,200
"CovidHub-baseline",2025-08-23,0.00292711172422341,0.004708,0.28,0.865,200
"CovidHub-baseline",2025-08-30,0.00301652263158092,0.00497466659166592,0.226666666666667,0.88,150
"CovidHub-baseline",2025-09-06,0.00241116699649901,0.00402466666666667,0.273333333333333,0.953333333333333,150
"CovidHub-baseline",2025-09-13,0.00250738998050094,0.0040009999299993,0.4,0.92,100
"CovidHub-baseline",2025-09-20,0.00240977772771506,0.00362999964749647,0.42,0.92,100
"CovidHub-baseline",2025-09-27,0.00260450693235445,0.00396666630166302,0.36,0.906666666666667,150
"CovidHub-baseline",2025-10-04,0.0027158603495391,0.00454199923249232,0.18,0.94,100
"CovidHub-baseline",2025-10-11,0.00327785800589223,0.00550799990749908,0.17,0.93,100
"CovidHub-baseline",2025-10-18,0.00301634102734019,0.005194,0.24,0.96,50
"CovidHub-baseline",2025-11-22,0.000574102736169753,0.00066,0.8,1,50
"CovidHub-baseline",2025-11-29,0.000836411775712866,0.001163,0.69,1,100
"CovidHub-baseline",2025-12-06,0.00106666562346718,0.00156733330333303,0.686666666666667,0.993333333333333,150
"CovidHub-baseline",2025-12-13,0.00114754597524344,0.00175799947749477,0.675,1,200
"CovidHub-baseline",2025-12-20,0.00174898988698596,0.00288249906374064,0.465,0.995,200
"CovidHub-baseline",2025-12-27,0.00314488209606253,0.00483149923499235,0.3,0.77,200
"CovidHub-baseline",2026-01-03,0.00304346767855844,0.00464149958374584,0.38,0.84,200
"CovidHub-baseline",2026-01-10,0.00163681986722714,0.0024925,0.595,0.975,200
"CovidHub-baseline",2026-01-17,0.0012820559472351,0.00187049991749918,0.695,1,200
"CovidHub-baseline",2026-01-24,0.00120053823886658,0.0016875,0.7,1,200
"CovidHub-baseline",2026-01-31,0.00114394665872715,0.00153449965124651,0.765,1,200
"CovidHub-baseline",2026-02-07,0.00104077523540305,0.001331,0.84,1,200
"CovidHub-baseline",2026-02-14,0.000973139411278308,0.001205,0.875,1,200
"CovidHub-baseline",2026-02-21,0.000954485056486326,0.001157,0.88,1,200
"CovidHub-baseline",2026-02-28,0.00117121745916568,0.0016355,0.695,0.995,200
"CovidHub-baseline",2026-03-07,0.00127605697579832,0.0019465,0.68,1,200
"CovidHub-ensemble",2026-01-17,0.000577731951754529,0.000904735647442738,0.63265306122449,0.979591836734694,50
"CovidHub-ensemble",2026-01-24,0.000843185275062841,0.00132508911736518,0.510204081632653,0.959183673469388,100
"CovidHub-ensemble",2026-01-31,0.000768322819587795,0.00119944112964373,0.639455782312925,0.986394557823129,149
"CovidHub-ensemble",2026-02-07,0.000728465964182571,0.00106947358290128,0.709183673469388,1,198
"CovidHub-ensemble",2026-02-14,0.000734926358034385,0.0010934446158559,0.683673469387755,0.994897959183674,198
"CovidHub-ensemble",2026-02-21,0.000701728948517234,0.00099106489988081,0.653061224489796,0.994897959183674,198
"CovidHub-ensemble",2026-02-28,0.000804354013122523,0.00121956472520587,0.540816326530612,0.969387755102041,198
"CovidHub-ensemble",2026-03-07,0.000829121403906736,0.00130111539118351,0.479591836734694,0.964285714285714,198
"UGA_flucast-INFLAenza",2025-06-28,0.000305953251258081,0.00045710333138358,0.489795918367347,0.938775510204082,49
"UGA_flucast-INFLAenza",2025-07-05,0.000381336939903157,0.000550627770177235,0.612244897959184,0.959183673469388,49
"UGA_flucast-INFLAenza",2025-07-12,0.000572299816794138,0.000912370023950627,0.346938775510204,0.897959183673469,98
"UGA_flucast-INFLAenza",2025-07-19,0.000691366301099202,0.00108790927560821,0.421768707482993,0.918367346938776,147
"UGA_flucast-INFLAenza",2025-07-26,0.00073834142974334,0.00116116950046246,0.510204081632653,0.931972789115646,147
"UGA_flucast-INFLAenza",2025-08-02,0.000880131065590645,0.00144953317948606,0.535714285714286,0.979591836734694,196
"UGA_flucast-INFLAenza",2025-08-09,0.000976000089568729,0.00157296653417305,0.520408163265306,0.994897959183674,196
"UGA_flucast-INFLAenza",2025-08-16,0.00134461700063853,0.00208639236437533,0.530612244897959,0.918367346938776,196
"UGA_flucast-INFLAenza",2025-08-23,0.00163552885933521,0.00256866122680492,0.489795918367347,0.928571428571429,196
"UGA_flucast-INFLAenza",2025-08-30,0.0017977586568582,0.00285931870169952,0.510204081632653,0.938775510204082,147
"UGA_flucast-INFLAenza",2025-09-06,0.00179199423497191,0.00286353394507372,0.374149659863946,0.91156462585034,147
"UGA_flucast-INFLAenza",2025-09-13,0.00204679863772214,0.00323546872543325,0.326530612244898,0.846938775510204,98
"UGA_flucast-INFLAenza",2025-09-20,0.00246287104528424,0.00375420929664812,0.204081632653061,0.795918367346939,49
"UGA_flucast-INFLAenza",2025-09-27,0.00161068383534739,0.00244506300114611,0.397959183673469,0.86734693877551,98
"UGA_flucast-INFLAenza",2025-10-04,0.00114723402831443,0.00183930863664022,0.26530612244898,0.775510204081633,49
"UGA_flucast-INFLAenza",2025-10-11,0.001484726328067,0.00231679144923427,0.163265306122449,0.795918367346939,49
"UGA_flucast-INFLAenza",2025-10-18,0.00178102101724152,0.00273108886000072,0.163265306122449,0.551020408163265,49
"UGA_flucast-INFLAenza",2025-11-22,0.000519008622632866,0.000831917514953285,0.510204081632653,0.979591836734694,49
"UGA_flucast-INFLAenza",2025-11-29,0.000681257070662846,0.00112329461535319,0.357142857142857,0.928571428571429,98
"UGA_flucast-INFLAenza",2025-12-06,0.000815474433904675,0.00131210357901855,0.36734693877551,0.904761904761905,147
"UGA_flucast-INFLAenza",2025-12-13,0.000855895587869037,0.00134865968041522,0.408163265306122,0.913265306122449,196
"UGA_flucast-INFLAenza",2025-12-20,0.00120879618130027,0.00192544249851645,0.372448979591837,0.852040816326531,196
"UGA_flucast-INFLAenza",2025-12-27,0.00230968409079991,0.00333666098549029,0.25,0.724489795918367,196
"UGA_flucast-INFLAenza",2026-01-03,0.00247859617127108,0.00353955303430896,0.301020408163265,0.760204081632653,196
"UGA_flucast-INFLAenza",2026-01-10,0.00143751317617083,0.00215197105222345,0.525510204081633,0.857142857142857,196
"UGA_flucast-INFLAenza",2026-01-17,0.000910135844749086,0.00142235154034337,0.551020408163265,0.974489795918367,196
"UGA_flucast-INFLAenza",2026-01-24,0.000837540207445913,0.00130621862446057,0.586734693877551,0.969387755102041,196
"UGA_flucast-INFLAenza",2026-01-31,0.000784521965545965,0.00120011408106206,0.642857142857143,0.964285714285714,196
"UGA_flucast-INFLAenza",2026-02-07,0.000666185838249068,0.000998917418077107,0.678571428571429,1,196
"UGA_flucast-INFLAenza",2026-02-14,0.000695501101880678,0.00107224575312971,0.658163265306122,0.98469387755102,196
"UGA_flucast-INFLAenza",2026-02-21,0.000665844074705212,0.00100183583810819,0.581632653061224,0.979591836734694,196
"UGA_flucast-INFLAenza",2026-02-28,0.000717274374687975,0.00112268786363925,0.571428571428571,0.964285714285714,196
"UGA_flucast-INFLAenza",2026-03-07,0.000760346052166912,0.00119661464001836,0.494897959183673,0.974489795918367,196
